032002501	2.057649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032002502	2.880551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032002503	1.663686	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1
032002504	3.596332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032002505	1.339030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032002506	3.827509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032002507	3.697501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032002508	3.127384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032002509	3.081698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032002510	2.895016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032002511	1.700217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032002512	2.226753	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
032002513	3.285958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032002514	1.296091	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0
032002515	1.890469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032002516	2.168889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032002517	2.841456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032002518	1.725211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032002519	2.596271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032002520	2.234352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032002521	1.610126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032002522	3.981964	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032002523	1.760186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032002524	3.071352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032002525	3.720206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
032002526	2.967162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032002527	3.325419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032002528	1.412915	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
032002529	3.785577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
